tweet_id,dog_types,month,retweet_count,favorite_count,rating
890240255349198849,doggo,July,6067,27841,1.4
889665388333682689,puppo,July,8303,41875,1.3
889531135344209921,puppo,July,1873,13311,1.3
886366144734445568,pupper,July,2613,18484,1.2
884162670584377345,doggo,July,2493,17885,1.2
883360690899218434,floofer,July,3061,19874,1.3
882762694511734784,pupper,July,4077,24691,1.2
881666595344535552,pupper,July,8912,44381,1.3
881536004380872706,pupper,July,13348,43277,1.4
877611172832227328,pupper,June,70,0,1.4
876838120628539392,pupper,June,2795,18163,1.2
876120275196170240,puppo,June,3890,24609,1.3
874296783580663808,pupper,June,3470,22879,1.3
874012996292530176,puppo,June,8551,30018,1.3
873213775632977920,pupper,June,1327,6300,1.2
872967104147763200,doggo,June,4545,23973,1.2
871879754684805121,puppo,June,9211,32966,1.3
871762521631449091,pupper,June,2958,17813,1.2
871515927908634625,doggo,June,2924,17844,1.2
869596645499047938,doggo,May,2629,14143,1.2
867421006826221569,puppo,May,2109,14294,1.2
866686824827068416,puppo,May,2953,17066,1.2
866450705531457537,pupper,May,30053,108489,1.3
859607811541651456,puppo,May,1360,16786,1.3
858843525470990336,puppo,May,3018,14089,1.3
855851453814013952,puppo,April,16076,41806,1.3
854120357044912130,pupper,April,6570,29150,1.4
854010172552949760,doggo,April,2784,14796,1.1
850019790995546112,pupper,April,4354,18731,1.2
846514051647705089,doggo,March,10346,41082,1.3
845397057150107648,doggo,March,1616,7073,1.3
845306882940190720,pupper,March,4844,21567,1.2
841439858740625411,doggo,March,3306,11701,1.4
837820167694528512,pupper,March,7133,31762,1.2
837110210464448512,pupper,March,2173,15049,1.3
836753516572119041,doggo,March,4254,18086,1.2
836380477523124226,pupper,February,2745,13877,1.2
834574053763584002,doggo,February,2304,12786,1.3
833124694597443584,pupper,February,4432,18950,1.2
832998151111966721,doggo,February,2007,12400,1.3
832273440279240704,doggo,February,2139,10632,1.4
832032802820481025,doggo,February,4291,16732,1.2
831939777352105988,doggo,February,5642,22428,1.2
831322785565769729,doggo,February,1438,8729,1.2
831315979191906304,pupper,February,1035,6160,1.3
829878982036299777,doggo,February,4589,0,1.2
829449946868879360,doggo,February,1854,9844,1.1
828381636999917570,doggo,February,2054,11827,1.4
827933404142436356,pupper,February,4811,18780,1.2
826958653328592898,doggo,February,4589,20256,1.2
826848821049180160,doggo,February,9304,33947,1.3
826476773533745153,doggo,January,3882,17322,1.2
826204788643753985,doggo,January,855,4584,1.3
825535076884762624,puppo,January,16300,53809,1.4
825026590719483904,puppo,January,1165,5889,1.2
824325613288833024,pupper,January,9853,11136,1.3
822872901745569793,puppo,January,39749,123675,1.3
822462944365645825,pupper,January,13078,26206,1.4
821765923262631936,doggo,January,1553,7886,1.3
821407182352777218,doggo,January,3978,11069,1.4
821107785811234820,doggo,January,1961,9034,1.1
819952236453363712,puppo,January,1079,5002,1.3
819924195358416896,doggo,January,4527,12195,1.1
818588835076603904,pupper,January,5669,0,1.1
817777686764523521,doggo,January,2513,10190,1.3
817181837579653120,pupper,January,7832,0,1.3
816829038950027264,puppo,January,4371,0,1.2
815990720817401858,doggo,January,942,4678,1.1
815966073409433600,pupper,January,7832,21059,1.3
814986499976527872,pupper,December,1183,7239,1.1
813910438903693312,doggo,December,1724,8829,1.1
813202720496779264,doggo,December,1700,8741,1.1
813127251579564032,doggo,December,2910,11177,1.1
813096984823349248,doggo,December,3367,10001,1.1
811386762094317568,pupper,December,5955,19793,1.1
808733504066486276,pupper,December,2028,7469,1.2
808106460588765185,pupper,December,2062,8366,1.2
807621403335917568,pupper,December,3372,13804,1.4
805826884734976000,puppo,December,1710,6216,1.2
803773340896923648,puppo,November,2576,9506,1.2
802265048156610565,doggo,November,1287,6601,1.1
802239329049477120,puppo,November,2448,8623,1.2
801115127852503040,doggo,November,1981,7660,1.2
800459316964663297,pupper,November,2054,9017,1.2
800443802682937345,pupper,November,4009,0,1.1
800388270626521089,floofer,November,2626,10571,1.2
800018252395122689,doggo,November,12254,26805,1.1
799757965289017345,doggo,November,1997,7947,1.3
797971864723324932,pupper,November,2881,10919,1.2
796484825502875648,doggo,November,1644,7163,1.2
795464331001561088,doggo,November,21866,46603,1.3
794205286408003585,pupper,November,3102,8746,1.4
793195938047070209,puppo,October,5254,14396,1.2
790946055508652032,puppo,October,4371,15823,1.2
787717603741622272,puppo,October,2576,9686,1.3
786363235746385920,doggo,October,3204,10251,1.3
785639753186217984,doggo,October,2098,7430,1.0
782747134529531904,doggo,October,1314,7052,1.1
782305867769217024,doggo,October,5107,15657,1.2
780931614150983680,puppo,September,6702,20427,1.3
779377524342161408,pupper,September,2872,8227,1.2
778039087836069888,pupper,September,2453,7958,1.2
776819012571455488,pupper,September,12529,0,1.3
776477788987613185,pupper,September,2545,8214,1.1
776218204058357768,floofer,September,14634,27997,1.3
776113305656188928,pupper,September,4009,11071,1.1
775898661951791106,doggo,September,15454,0,1.2
775733305207554048,doggo,September,3689,13028,1.1
775364825476165632,doggo,September,2706,6917,1.1
773985732834758656,pupper,September,3573,10118,1.1
773547596996571136,pupper,September,5669,20758,1.1
772877495989305348,doggo,September,3568,8022,1.1
772193107915964416,pupper,September,1285,5660,1.2
770093767776997377,pupper,August,2801,0,1.2
